,C1,C2,C3,C4,C5
AF,-1.980670775100481,0.18003256368337409,-0.014844901857425315,-0.37559860048634847,0.4653531330909603
AL,0.4276126232910602,1.1415440454120394,0.83779587662194,0.744656595323497,0.17149507152046023
DZ,0.08947840971437589,0.5109803444817599,0.4185897233012334,0.6357022186746717,0.20135797178585965
AO,-1.6139726437390136,0.11866407210749638,-0.07356877106906597,-0.4758116701157329,-0.23292336294304403
AR,0.8154619882807591,0.2621164014518321,0.2795193859918584,0.41770081881691257,-0.17889602820750666
AM,-0.06441950278145392,1.6955845303883783,1.3314168023577546,0.35289984897575727,0.0829532396335497
AU,2.866986523710809,-0.03329725339444742,-0.2905499069154578,-0.6061702736171546,0.0786930325839099
AT,2.4465522412138987,0.015769685295916852,-0.3703551919684361,-0.4528949567767522,0.09452079179113054
AZ,-0.17155512250896068,-0.12193171495480662,-0.3352002902027732,0.5284875488211795,-0.1919577908158822
BS,1.0413332829831399,0.9488529367652275,0.4678844980126288,-0.48274177648699546,0.05704703691359354
BH,1.3063740937026604,-0.5380168378984925,-0.861459741605946,0.32501651492957334,-0.31448328256082697
BD,-0.5099494718375431,-0.8061610526051889,0.13850200112348937,0.4930287961848256,0.24834126248718988
BY,0.24403826936246936,-0.7000357569857759,-0.8724947303418293,0.7520335958697356,-0.45545147472675146
BE,2.365372585929434,0.23746646493068424,-0.13233449977791426,-0.3237499765184138,-0.06293243725617702
BZ,-0.5589183075010017,0.461467377248358,0.10363847858487596,0.18106459333101685,0.03375662834453687
BJ,-1.9370266037566493,-0.6029306656378716,-0.883371655642886,-0.2997893555048386,-0.06304659704839259
BT,-0.6035196993531765,-0.47068763937650604,-0.7602697514775406,0.42573045311894886,0.03708616218712226
BO,-0.5823234974853189,-0.409322135340756,-0.625270978106426,0.3616909356958249,-0.1733960411039006
BA,0.14856831485261934,2.6942684941345125,2.282537665295084,0.2685520622804083,0.24903448961792965
BW,-0.7555596918948162,1.5197515831252573,1.0788680410677471,-0.33440081748569456,-0.16588027786251872
BR,0.2209473551460536,0.09807350725920909,1.6482013075594781,0.1705950810452403,0.1749896489167054
BN,1.2161868261052216,0.22953218948287138,-0.18078629963606704,-0.09501226762027515,0.031179296903305197
BG,0.3320461622728702,0.0748823707609967,-0.1779594536030786,0.5846809340361626,-0.17041327297010922
BF,-2.314215587263656,-0.14911631643624923,-0.42331081345834226,-0.5544909755010715,0.3138317276132216
BI,-2.584348281536828,-0.7858301198229795,-1.085187694798198,-0.6207130431178302,0.13848844781749325
KH,-1.00921814285624,-0.8867479131036557,-0.9988827755319404,0.3565040834896262,0.26046115917172025
CM,-1.932689943128576,-0.4040943152111989,-0.6069845619129773,-0.46335509333874286,-0.5092699822048031
