,Cluster
Afghanistan,C0
Albania,C1
Algeria,C1
Angola,C0
Argentina,C1
Armenia,C1
Australia,C1
Austria,C1
Azerbaijan,C1
Bahamas,C1
Bahrain,C1
Bangladesh,C1
Belarus,C1
Belgium,C1
Belize,C1
Benin,C0
Bhutan,C1
Bolivia,C1
Bosnia and Herzegovina,C1
Botswana,C1
Brazil,C1
Brunei,C1
Bulgaria,C1
Burkina Faso,C0
Burundi,C0
Cambodia,C1
Cameroon,C0
Canada,C1
Central African Republic,C0
Chad,C0
Chile,C1
China,C1
Colombia,C1
Comoros,C0
Costa Rica,C1
Cote d'Ivoire,C0
Croatia,C1
Cyprus,C1
Czech Republic,C1
Denmark,C1
Djibouti,C0
Dominican Republic,C1
Ecuador,C1
Egypt,C1
