,Cluster
Afghanistan,C3
Albania,C5
Algeria,C5
Angola,C3
Argentina,C4
Armenia,C5
Australia,C1
Austria,C1
Azerbaijan,C2
Bahamas,C4
Bahrain,C4
Bangladesh,C2
Belarus,C2
Belgium,C1
Belize,C5
Benin,C3
Bhutan,C2
Bolivia,C2
Bosnia and Herzegovina,C5
Botswana,C5
Brazil,C5
Brunei,C4
Bulgaria,C2
Burkina Faso,C3
Burundi,C3
Cambodia,C2
Cameroon,C3
Canada,C1
Central African Republic,C3
Chad,C3
Chile,C4
China,C0
Colombia,C5
Comoros,C3
Costa Rica,C4
Cote d'Ivoire,C3
Croatia,C4
Cyprus,C4
Czech Republic,C4
Denmark,C1
Djibouti,C3
Dominican Republic,C2
Ecuador,C2
Egypt,C5
