Tara,P_max,P_2 clusters,P_3 clusters,P_4 clusters,P_5 clusters,P_6 clusters
Afghanistan,C0,C0,C1,C1,C2,C3
Albania,C1,C1,C2,C3,C3,C5
Algeria,C1,C1,C2,C3,C3,C5
Angola,C0,C0,C1,C1,C2,C3
Argentina,C1,C1,C2,C2,C4,C4
Armenia,C1,C1,C2,C3,C3,C5
Australia,C1,C1,C2,C2,C4,C1
Austria,C1,C1,C2,C2,C4,C1
Azerbaijan,C1,C1,C2,C3,C1,C2
Bahamas,C1,C1,C2,C2,C4,C4
Bahrain,C1,C1,C2,C2,C4,C4
Bangladesh,C1,C1,C2,C3,C1,C2
Belarus,C1,C1,C2,C3,C1,C2
Belgium,C1,C1,C2,C2,C4,C1
Belize,C1,C1,C2,C3,C3,C5
Benin,C0,C0,C1,C1,C2,C3
Bhutan,C1,C1,C2,C3,C1,C2
Bolivia,C1,C1,C2,C3,C1,C2
Bosnia and Herzegovina,C1,C1,C2,C3,C3,C5
Botswana,C1,C1,C2,C3,C3,C5
Brazil,C1,C1,C2,C3,C3,C5
Brunei,C1,C1,C2,C2,C4,C4
Bulgaria,C1,C1,C2,C3,C1,C2
Burkina Faso,C0,C0,C1,C1,C2,C3
Burundi,C0,C0,C1,C1,C2,C3
Cambodia,C1,C1,C2,C3,C1,C2
Cameroon,C0,C0,C1,C1,C2,C3
Canada,C1,C1,C2,C2,C4,C1
Central African Republic,C0,C0,C1,C1,C2,C3
Chad,C0,C0,C1,C1,C2,C3
Chile,C1,C1,C2,C2,C4,C4
China,C1,C1,C0,C0,C0,C0
Colombia,C1,C1,C2,C3,C3,C5
Comoros,C0,C0,C1,C1,C2,C3
Costa Rica,C1,C1,C2,C2,C4,C4
Cote d'Ivoire,C0,C0,C1,C1,C2,C3
Croatia,C1,C1,C2,C2,C4,C4
Cyprus,C1,C1,C2,C2,C4,C4
Czech Republic,C1,C1,C2,C2,C4,C4
Denmark,C1,C1,C2,C2,C4,C1
Djibouti,C0,C0,C1,C1,C2,C3
Dominican Republic,C1,C1,C2,C3,C1,C2
Ecuador,C1,C1,C2,C3,C1,C2
Egypt,C1,C1,C2,C3,C3,C5
